id;name;surname;birth_date;birth_place;death_date;death_place;portrait;portrait_content_type
1;Harbor Montana;Corporate Phased relationships;2019-11-10;User-centric;2019-11-11;neutral Salad;../fake-data/blob/hipster.png;image/png
2;Auto Loan Account modular Refined;digital maroon;2019-11-10;Ghana back-end National;2019-11-11;Gorgeous Profit-focused synergies;../fake-data/blob/hipster.png;image/png
3;cutting-edge ability Hat;supply-chains magenta;2019-11-11;24/7;2019-11-10;conglomeration;../fake-data/blob/hipster.png;image/png
4;Oklahoma facilitate;Engineer;2019-11-10;Quality-focused;2019-11-11;capability zero tolerance Computers;../fake-data/blob/hipster.png;image/png
5;Analyst paradigms;encompassing;2019-11-10;Public-key Granite;2019-11-11;Designer Persistent;../fake-data/blob/hipster.png;image/png
6;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;2019-11-11;Licensed hacking installation;2019-11-11;Refined Rubber Gloves Algerian Dinar Clothing;../fake-data/blob/hipster.png;image/png
7;open-source turn-key;Sausages;2019-11-10;synthesize Creative;2019-11-11;bricks-and-clicks Concrete Global;../fake-data/blob/hipster.png;image/png
8;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;2019-11-11;Customer Human deposit;2019-11-11;cross-media;../fake-data/blob/hipster.png;image/png
9;programming SCSI drive;invoice Unbranded Cheese;2019-11-10;Home Loan Account Tools Unbranded;2019-11-11;Home Gloves Latvia;../fake-data/blob/hipster.png;image/png
10;Ports Manager Fish;Networked;2019-11-11;navigate;2019-11-11;calculating withdrawal Nevada;../fake-data/blob/hipster.png;image/png
